match_id,date,round,home_team,away_team,team,opponent,team_id,official_team_xg,official_team_setplay_xg,official_team_openplay_xg,official_team_nonpenalty_xg,provider_nonpenalty_setplay_shots,provider_nonpenalty_setplay_shot_xg_raw_sum,provider_nonpenalty_setplay_goals,derived_all_restart_linked_shots,derived_all_restart_linked_xg_raw_sum,derived_linked_shots_classified_open_play_by_provider,source_ma12,source_last_updated,corner_events,free_kick_events,direct_free_kick_events,penalty_events,throw_in_events,goal_kick_events,keeper_throw_events
63ffipykqy8vpol7y1ksinwgk,2026-06-14,10,Keflavík,FH,FH,Keflavík,2ci0yr2esa7y4etjvl5vau077,0.808800,0.303200,0.505600,0.808800,4,0.303199,1,7,0.444679,3,keflavik_fh_2026_06_14_ma12.json,2026-09-06T22:48:32Z,4,20,0,0,19,13,6
63zio4xfnb94ikl3cak0b5rmc,2026-06-14,10,Thór,ÍBV,Thór,ÍBV,dys496cnlmowm95ehcfgcrvbm,0.971300,0.423700,0.547600,0.971300,3,0.423705,0,4,0.456499,1,thor_ibv_2026_06_14_ma12.json,2026-09-06T22:48:32Z,10,14,0,0,28,4,6
63zio4xfnb94ikl3cak0b5rmc,2026-06-14,10,Thór,ÍBV,ÍBV,Thór,3tlx1zjkgrsdky3abrqe2c9c3,2.015400,0.073600,1.941700,2.015400,3,0.073647,0,7,0.684311,4,thor_ibv_2026_06_14_ma12.json,2026-09-06T22:48:32Z,5,9,0,0,19,6,2
650i4l557rdbk3cwqk107y590,2026-06-15,10,KA,Fram,KA,Fram,4mo70a9j7p2ersbrieg5aw3dg,1.051000,0.130400,0.920500,1.051000,3,0.130439,0,4,0.161404,1,ka_fram_2026_06_15_ma12.json,2026-09-06T22:48:31Z,6,18,1,0,26,13,4
650i4l557rdbk3cwqk107y590,2026-06-15,10,KA,Fram,Fram,KA,ta7x6ep3lniyckj6la77zw,4.406400,0.311700,3.306400,3.618000,4,0.311698,1,6,1.187701,1,ka_fram_2026_06_15_ma12.json,2026-09-06T22:48:31Z,5,9,1,1,24,11,2
62vmjc99s2pq0l9eqcqpbzf2s,2026-06-16,10,ÍA,Valur,ÍA,Valur,9ar4wcltrggiz60w77e3z56m2,1.617900,0.325400,1.292600,1.617900,4,0.325353,0,5,0.377044,1,ia_valur_2026_06_16_ma12.json,2026-09-06T22:48:31Z,5,17,1,0,24,10,3
62vmjc99s2pq0l9eqcqpbzf2s,2026-06-16,10,ÍA,Valur,Valur,ÍA,khmdmbol7850k3i07yusgpn,0.895000,0.678100,0.216900,0.895000,4,0.678093,0,5,0.698542,1,ia_valur_2026_06_16_ma12.json,2026-09-06T22:48:31Z,2,13,0,0,29,8,8
64i18l42c5fbz7ywlpwwit2xg,2026-06-16,10,Stjarnan,Breidablik,Stjarnan,Breidablik,23vg6q15dzr375k6757j06wkq,3.169500,0.832800,2.336700,3.169500,7,0.832795,0,12,2.363224,5,stjarnan_breidablik_2026_06_16_ma12.json,2026-09-06T22:48:32Z,4,5,1,0,23,5,3
64i18l42c5fbz7ywlpwwit2xg,2026-06-16,10,Stjarnan,Breidablik,Breidablik,Stjarnan,c6hu27u143y4z4te8b4036bae,1.670800,0.676000,0.994800,1.670800,11,0.6803,1,11,0.6803,0,stjarnan_breidablik_2026_06_16_ma12.json,2026-09-06T22:48:32Z,8,17,1,0,13,7,3
65j5t751iunvfhcedg0an19n8,2026-06-16,10,Víkingur R,KR,Víkingur R,KR,7gmdb4hmtrz199zv9r66qy9qp,1.448600,0.280700,1.167900,1.448600,3,0.280675,1,5,0.464049,2,vikingur_r_kr_2026_06_16_ma12.json,2026-09-06T22:48:31Z,3,12,0,0,25,8,0
65j5t751iunvfhcedg0an19n8,2026-06-16,10,Víkingur R,KR,KR,Víkingur R,629yaod9sjr350jvivp78vwfz,0.849200,0.164300,0.684900,0.849200,2,0.164284,0,3,0.317448,2,vikingur_r_kr_2026_06_16_ma12.json,2026-09-06T22:48:31Z,9,13,0,0,27,8,3
661i1srkagu1s9ycilelz1nv8,2026-06-21,11,FH,Thór,FH,Thór,2ci0yr2esa7y4etjvl5vau077,1.618000,0.194600,1.423300,1.618000,5,0.194608,0,5,0.194608,0,fh_thor_2026_06_21_ma12.json,2026-09-06T22:48:31Z,6,10,2,0,26,7,6
661i1srkagu1s9ycilelz1nv8,2026-06-21,11,FH,Thór,Thór,FH,dys496cnlmowm95ehcfgcrvbm,1.022400,0.053500,0.180500,0.234000,3,0.053505,0,4,0.841905,0,fh_thor_2026_06_21_ma12.json,2026-09-06T22:48:31Z,1,15,0,1,21,9,7
66k66qlfnnge2mbopajlugiz8,2026-06-21,11,Valur,Keflavík,Valur,Keflavík,khmdmbol7850k3i07yusgpn,2.444900,0.701200,1.743700,2.444900,3,0.701199,0,4,0.724011,1,valur_keflavik_2026_06_21_ma12.json,2026-09-06T22:48:31Z,12,6,0,0,21,7,4
66k66qlfnnge2mbopajlugiz8,2026-06-21,11,Valur,Keflavík,Keflavík,Valur,96h322mg5vnaneem9fjzgvioq,1.741500,0.961500,0.780000,1.741500,7,0.961456,1,8,1.186048,1,valur_keflavik_2026_06_21_ma12.json,2026-09-06T22:48:31Z,5,17,0,0,19,9,6
672l8o73eti7a5ka1trk9d5hw,2026-06-21,11,Breidablik,KA,Breidablik,KA,c6hu27u143y4z4te8b4036bae,1.912900,0.332700,1.580200,1.912900,6,0.332708,0,6,0.6343,1,breidablik_ka_2026_06_21_ma12.json,2026-09-06T22:48:32Z,10,13,0,0,15,7,4
672l8o73eti7a5ka1trk9d5hw,2026-06-21,11,Breidablik,KA,KA,Breidablik,4mo70a9j7p2ersbrieg5aw3dg,0.856300,0.110400,0.745900,0.856300,2,0.110402,0,3,0.162574,1,breidablik_ka_2026_06_21_ma12.json,2026-09-06T22:48:32Z,5,16,0,0,18,11,6
67mzokw1hs7wwpyq1as744y6s,2026-06-21,11,ÍBV,Stjarnan,ÍBV,Stjarnan,3tlx1zjkgrsdky3abrqe2c9c3,1.107200,0.106000,1.001200,1.107200,3,0.106046,0,3,0.106046,0,ibv_stjarnan_2026_06_21_ma12.json,2026-09-06T22:48:32Z,2,18,2,0,16,11,6
67mzokw1hs7wwpyq1as744y6s,2026-06-21,11,ÍBV,Stjarnan,Stjarnan,ÍBV,23vg6q15dzr375k6757j06wkq,1.772700,0.253600,1.519000,1.772700,4,0.253605,0,5,0.287326,1,ibv_stjarnan_2026_06_21_ma12.json,2026-09-06T22:48:32Z,3,11,1,0,20,5,4
